OH/Si,SHAP value
0.0,-0.00037923286199699615
0.0,-0.00041698953977256864
0.0,-0.0003340085206692508
0.0,-0.0003999007391436419
0.0,-0.0007031975831355942
0.0,-0.0005045512023228234
0.0,-0.001141347177116283
0.0,-0.0005900229217724836
0.0,-0.0007932684309715693
0.0,-0.0008551627394803663
0.0,-0.0004563106763391583
0.0,-0.0002944396841130259
0.0,-0.0005940069544973484
0.0,-0.00041633101261013265
0.0,-0.00041647318616408555
0.0,-0.0006646015464579505
0.0,-0.00037100202948914083
0.0,-0.0005129414021903186
0.0,-0.00034767176792532036
0.0,-0.00048327587924141304
0.0,-0.0006116042475510095
0.0,-0.0005061052017946009
0.0,-0.0006905531888514278
0.0,-0.0008534677914060721
0.0,-0.0004078694661639122
0.0,-0.0007255941998241037
0.0,-0.0003243118392023457
0.0,-0.000681207593204334
0.0,-0.0005355872232878144
0.0,-0.000501925952569438
0.0,-0.00037852164399492286
0.0,-0.0007670180244524174
0.0,-0.0003719732174285716
0.0,-0.0003291713072366243
0.0,-0.00032123344927350987
0.0,-0.0009260619878853237
0.0,-0.0003939364519007436
0.0,-0.0007537355413176883
0.0,-0.000446909525715423
0.0,-0.00034767176792532036
0.0,-0.00040979589302648573
0.0,-0.0003538917114700601
0.0,-0.0013218281475418248
0.0,-0.0003180551563111212
0.0,-0.0007313474464060149
0.0,-0.00048399613634611966
0.0,-0.000538001039192168
0.0,-0.0004795549702706388
0.0,-0.0004024370380969024
0.0,-0.00040034457931559047
0.0,-0.00047199824339678174
0.0,-0.0005053879102133897
0.0,-0.00030808075939090456
0.0,-0.00043867292698838674
0.0,-0.00034245420279967724
0.0,-0.0008244656662713917
0.0,-0.0004812349074401793
0.0,-0.0006570702905279134
0.0,-0.0007159764848386949
0.0,-0.0005252770814737986
0.0,-0.0003399349140179326
0.0,-0.00033939407303808705
0.0,-0.0008133867039416225
0.0,-0.0008534677914060721
0.0,-0.0004594994601364824
0.0,-0.00045374630771898174
0.0,-0.00044164612000699324
0.0,-0.00040146817684686917
0.0,-0.0007286705960844646
0.0,-0.0005627809209768175
0.0,-0.00032906080491372855
0.0,-0.00074308792521624
0.0,-0.0003927674076946339
0.0,-0.00043702110575028115
0.0,-0.0004352281486983263
0.0,-0.00038853767260331684
0.0,-0.0005307679861330846
0.0,-0.0009440158764352041
0.0,-0.0004915340398354347
0.0,-0.00044242032794505285
0.0,-0.00033630733562072684
0.0,-0.0003271261808671797
0.0,-0.0005901899115171379
0.0,-0.0004216303393972697
0.0,-0.0006492693461886359
0.0,-0.0004279940208614246
0.0,-0.00046292259907035327
0.0,-0.001478188841848063
0.0,-0.00035564721192830624
0.0,-0.0005389060409320632
0.0,-0.000391420381952348
0.0,-0.000835517164647199
0.0,-0.0002418145126835375
0.0,-0.0006345516659225032
0.0,-0.0003520601383033586
0.0,-0.0011104797089071256
0.0,-0.0003494521267251793
0.0,-0.0005765788573912067
0.0,-0.00042102304883944076
0.0,-0.0004418192503124308
0.0,-0.0007398193586499377
0.0,-0.0005575061996722524
0.0,-0.00032089691365275646
0.0,-0.0006925873153625559
0.0,-0.00044450189648361096
0.0,-0.0004300280392968368
0.0,-0.0006845461873750242
0.0,-0.0003621680370358854
0.0,-0.0007094104216959701
0.0,-0.0014144262668571953
0.0,-0.002627905456983155
0.0,-0.0003964634834013392
0.0,-0.0006738462744994054
0.0,-0.00037689724226066233
0.0,-0.0007444455949702677
0.0,-0.00044578582059813705
0.0,-0.0007443332231064603
0.0,-0.000510237518999792
0.0,-0.005688196643991108
0.0,-0.00040766501709685153
0.0,-0.0003989422085540482
0.0,-0.00043249306544674687
0.0,-0.002819309676267445
0.0,-0.000840627345819202
0.0,-0.0003243118392023457
0.0,-0.0003544783637126893
0.0,-0.00047222626766541133
0.0,-0.00030035746455879585
0.0,-0.0004119734028026798
0.0,-0.0007111923349350498
0.0,-0.00045374630771898174
0.0,-0.0004043275216462994
0.0,-0.0007036031087050743
0.0,-0.0006699631127601015
0.0,-0.0009827646011565249
0.0,-0.00422612695948493
0.0,-0.0005427438370120427
0.0,-0.00047051362032722946
0.0,-0.0003712167924284598
0.0,-0.00042595725002893053
0.0,-0.000527081291740448
0.0,-0.0004058711100185176
0.0,-0.002819275117613426
0.0,-0.0004370205054430236
0.0,-0.0004047819139062499
0.0,-0.0004257123777926123
0.0,-0.00043199677316057953
0.0,-0.00020674745486464835
0.0,-0.0005181306600767172
0.0,-0.0004005724551847618
0.0,-0.00032987555296599817
0.0,-0.0005166311298208227
0.0,-0.0003990953161097298
0.0,-0.0007712410088555943
0.0,-0.00041254205615414645
0.0,-0.0002492160834597478
0.0,-0.0006392223569578414
0.0,-0.00040034457931559047
0.0,-0.0006674043791137316
0.0,-0.00034425684237573083
0.0,-0.0004893567626466696
0.0,-0.000672132179328924
0.0,-0.0003181435222215865
0.0,-0.0004105983863891371
0.0,-0.00042973614168292663
0.0,-0.00031660849498588747
0.0,-0.0005478331921203409
0.0,-0.0025777413607101294
0.0,-0.0003518047497219571
0.0,-0.0006727043514720365
0.0,-0.0020768044926679236
0.0,-0.000666843231596625
0.0,-0.00037575313863249886
0.0,-0.00045017799271765717
0.0,-0.00036182352177839094
0.0,-0.0005143404738840381
0.0,-0.0004276206145116671
0.0,-0.0006092780633352768
0.0,-0.0007091220615379633
0.0,-0.0008749568121625867
0.0,-0.00041682915155043015
0.0,-0.0006686444944080957
0.0,-0.000346242178015809
0.0,-0.00042706874987082457
0.0,-0.0008402222098265375
0.0,-0.0004795549702706388
0.0,-0.00043439258095213115
0.0,-0.000493591087922832
0.0,-0.0006292617922690581
0.0,-0.0005064171405330143
0.0,-0.00034558867466053666
0.0,-0.00043656513443226933
0.0,-0.0006536390712087563
0.0,-0.00041754934929092813
0.0,-0.000503651199010378
0.0,-0.0008431955369959342
0.0,-0.0004437746399098908
0.0,-0.0003814321980955843
0.0,-0.0003213182651774804
0.0,-0.0007144647771125656
0.0,-0.0003646521283293233
0.0,-0.0003403641682932525
0.0,-0.000559101482293334
0.0,-0.0008631164540684885
0.0,-0.0008006189279780523
0.0,-0.00042416112575112885
0.0,-0.00039816249702823424
0.0,-0.0006385020114976396
0.0,-0.0003236614811104048
0.0,-0.00035082313610484446
0.0,-0.0003955159269042064
0.0,-0.0016812379935205598
0.0,-0.000717135775407707
0.0,-0.0005109515277609669
0.0,-0.0011763315392024321
0.0,-0.0008006189279780523
0.0,-0.00031241081519370854
0.0,-0.0011249999942782266
0.0,-0.0004047819139062499
0.0,-0.0004851345802487793
0.0,-0.0007095141215693466
0.0,-0.0005051189831311878
0.0,-0.0007428957549102987
0.0,-0.0007888745037657089
0.0,-0.0003185076522807497
0.0,-0.0003309954342866618
0.0,-0.00043024332839062494
0.0,-0.00032095920263440877
0.0,-0.00033172794685907067
0.0,-0.0009797824005141717
0.0,-0.0004081280799643865
0.0,-0.0004538642041915564
0.0,-0.00037103360029187843
0.0,-0.0007618511861298091
0.0,-0.0005542327166234952
0.0,-0.0006918159881525867
0.0,-0.0005512582548146233
0.0,-0.0004022490875042957
0.0,-0.000510237518999792
0.0,-0.0005219267189676741
0.0,-0.00042585146652347717
0.0,-0.0007037422899531454
0.0,-0.0003668636585387364
0.0,-0.0006539939914200914
0.0,-0.0003740375140593762
0.0,-0.0003884353865214551
0.0,-0.0007110799630712424
0.0,-0.00040958408662897336
0.0,-0.0006549071924233075
0.0,-0.0006353598910198001
0.0,-0.0003760265721151281
0.0,-0.00045588191872190264
0.0,-0.00037756041247558996
0.0,-0.000756283239511051
0.0,-0.0004022490875042957
0.0,-0.0003006188305135995
0.0,-0.0004064823990161337
0.0,-0.0003414918713962006
0.0,-0.0011728073397195879
0.0,-0.0005126264662516616
0.0,-0.00042124017354274747
0.0,-0.00037004873258241833
0.0,-0.00044285548650642296
0.0,-0.00041375501225335943
0.0,-0.000624910074271533
0.0,-0.00041988658021185557
0.0,-0.0004092543795349543
0.0,-0.0005340367037670472
0.0,-0.00045949881496753575
0.0,-0.0007281098436071942
0.0,-0.0006546202322440361
0.0,-0.0005208207956437317
0.0,-0.0002234522671759497
0.0,-0.00036681819401713155
0.0,-0.0004303519182901534
0.0,-0.00044992222689733263
0.0,-0.00033147307305273583
0.0,-0.0004933833941710189
0.0,-0.0007930995448561732
0.0,-0.00040662400900474976
0.0,-0.0004863267590975408
0.0,-0.00031704311723136685
0.0,-0.0006559868393720313
0.0,-0.0008775293403622396
0.0,-0.00041441165813643896
0.0,-0.0005883500578537701
0.0,-0.0005114976282534953
0.0,-0.0003271170036202756
0.0,-0.0009886632809046096
0.0,-0.018428040457706473
0.0,-0.00045827215934411377
0.0,-0.0005219267189676741
0.0,-0.00024680866920988136
0.0,-0.00041698953977256864
0.0,-0.00041499314926815193
0.0,-0.0006225419596296046
0.0,-0.0004227326668346723
0.0,-0.00038495381457222114
0.0,-0.0004640426354413752
0.0,-0.0003803692172897614
0.0,-0.0005218231239497759
0.0,-0.0013849130353709512
0.0,-0.0006536390712087563
0.0,-0.00038567009835994683
0.0,-0.0005132580287286227
0.0,-0.00033997285833697226
0.0,-0.0007371698413793751
0.0,-0.0007213133291124547
0.0,-0.0007513950002052091
0.0,-0.0004041412209115397
0.0,-0.00042846737186408426
0.0,-0.0006501650079847442
0.0,-0.000301935264499897
0.0,-0.0003484837918427069
0.0,-0.0003384915306386603
0.0,-0.0005216195921478688
0.0,-0.00028365739715667873
0.0,-0.0007391040223544187
0.0,-0.00035050851516078987
0.0,-0.000624910074271533
0.0,-0.00044022868275779006
0.0,-0.00041263347689749673
0.0,-0.0003155064629157417
0.0,-0.0004822244051028293
0.0,-0.0007854661676814287
0.0,-0.00032089691365275646
0.0,-0.00035268399848662504
0.0,-0.0005210295593869871
0.0,-0.0005264365426903803
0.0,-0.00033622171560932363
0.0,-0.00034506017412387423
0.0,-0.0003346476415123211
0.0,-0.0005273625679824992
0.0,-0.0003847719200436449
0.0,-0.0002643921369571143
0.0,-0.00047198766714377804
0.0,-0.0005649013089254821
0.0,-0.00036351310828870866
0.0,-0.0006578670732245897
0.0,-0.0006330926100160879
0.0,-0.00016613803681385085
0.0,-0.00045134379094264725
0.0,-0.000624910074271533
0.0,-0.0003211380612477087
0.0,-0.0009642617566017628
0.0,-0.0003949384997148338
0.0,-0.0002991081357015956
0.0,-0.0005268217662194272
0.0,-0.0004058711100185176
0.0,-0.00035162286604419095
0.0,-0.000672132179328924
0.0,-0.00035634040169728304
0.0,-0.0008312724988525103
0.0,-0.0003508767771291185
0.0,-0.0003472276958734198
0.0,-0.0007179674487789793
0.0,-0.0019243134792315125
0.0,-0.00044042953295840565
0.0,-0.00037775459104733786
0.0,-0.0008402222098265375
0.0,-0.00036425586611799044
0.0,-0.0005070090023620162
0.0,-0.00037902302336762764
0.0,-0.0003435951602275682
0.0,-0.000809400848133554
0.0,-0.0006320384769683007
0.0,-0.0006527023797197227
0.0,-0.000404044765559294
0.0,-0.0002986915546984668
0.0,-0.0006440851753395778
0.0,-0.0006261422521309336
0.0,-0.00033997285833697226
0.0,-0.0005574830348623223
0.0,-0.0007259931523934184
0.0,-0.0007282035225801187
0.0,-0.0003757853716384466
0.0,-0.0003408572941188864
0.0,-0.0005032301065881812
0.0,-0.0005281381995578877
0.0,-0.00045508220626819213
0.0,-0.00035873038641386806
0.0,-0.0007971290181768747
0.0,-0.0003309954342866618
0.0,-0.000720915100865802
0.0,-0.0012285053112720023
0.0,-0.0007573963504977422
0.0,-0.0005239366160628649
0.0,-0.00036168470674496304
0.0,-0.00045374630771898174
0.0,-0.0006895607730336545
0.0,-0.0006324668923178175
0.0,-0.000891506217570213
0.0,-0.0005761823247898463
0.0,-0.0008180772318994573
0.0,-0.00041960181459444205
0.0,-0.00034073698185845414
0.0,-0.0003135285594296078
0.0,-0.0006035792225682017
0.0,-0.0006581604445625954
0.0,-0.0004277032281022161
0.0,-0.0004494397573102739
0.0,-0.00042503204188623525
0.0,-0.002061681917685908
0.0,-0.00038486050763359835
0.0,-0.000716143919970127
0.0,-0.0006564346606190957
0.0,-0.0006472673058821043
0.0,-0.0007115982951939535
0.0,-0.0007583541126462191
0.0015999999999999999,-0.0004557039989617683
0.0018181818181818186,-0.00041270151185925986
0.0022222222222222222,-0.0004174614217277927
0.0022222222222222222,-0.0004174614217277927
0.002608333333333333,-0.0004313162992017856
0.0028571428571428576,-0.00041696477576734124
0.004000000000000001,-0.00040513084819827444
0.01,-0.00044186744024056723
0.015999999999999993,-0.0002586315328119433
0.015999999999999997,-0.0006046806922007984
0.016,-0.00047693760531418504
0.016,-0.00046367453837530947
0.016000000000000004,-0.00042662941415849974
0.016000000000000004,-0.0002996316067800884
0.016000000000000004,-0.00030348104266039803
0.016000000000000004,-0.0002774613153723756
0.016000000000000004,-0.0002586315328119433
0.019374999999999993,-0.00045066356157007296
0.019999999999999993,-0.00027468545025766393
0.019999999999999993,-0.00027468545025766393
0.02,-0.0002813047810033202
0.023999999999999997,-0.0003839979508899131
0.024,-0.0003839979508899131
0.024,-0.00042166322997956774
0.024,-0.00039373029281138637
0.024000000000000004,-0.00039325373207190254
0.024000000000000004,-0.00032685005564137313
0.024000000000000004,-0.00027446970484190446
0.024000000000000004,-0.00042166322997956774
0.024000000000000004,-0.0003877469750325346
0.024000000000000004,-0.0002790253478329604
0.024000000000000004,-0.000709902282500241
0.024000000000000004,-0.0004683646096192266
0.02433333333333333,-0.0001519977947195155
0.029062499999999998,-0.00031555083672086414
0.029761904761904746,-0.00048664505740515107
0.029761904761904746,-0.0004554680329461036
0.029761904761904746,-0.00048664505740515107
0.03129999999999999,-0.00037996046302646205
0.03129999999999999,-0.0004828947909175058
0.03129999999999999,-0.00047534399271918255
0.03129999999999999,-0.00037996046302646205
0.03199999999999999,-0.0003904122075227387
0.03199999999999999,-0.00039925293882933015
0.03200000000000001,-0.0002308509183801644
0.03599999999999998,-0.00047984578955652526
0.03599999999999998,-0.0005666593982682295
0.03999999999999997,-0.0003519114954837578
0.03999999999999997,-0.0002087365572844495
0.03999999999999997,-0.00014164428906660687
0.03999999999999997,-0.0002829561800499713
0.039999999999999994,-0.0002432256413255484
0.039999999999999994,-0.0004087024542394316
0.039999999999999994,-0.0018882007836017898
0.039999999999999994,-0.00022757771214267097
0.040000000000000015,-0.0002308509183801644
0.040000000000000015,-0.0004087024542394316
0.04000000000000003,-0.00040313396285348706
0.04000000000000003,-0.0004582412732032319
0.04000000000000003,-0.0003270923508109507
0.04000000000000003,-0.0003296827789031902
0.04000000000000003,-0.0003321461183804927
0.04000000000000003,-0.00026386771711063914
0.04000000000000004,-0.0003843581426997782
0.04199999999999998,-0.0005287370994494036
0.04200000000000001,-0.011056401295402979
0.04200000000000002,-0.0004493920420557968
0.042087542087542076,-0.00042631206818063343
0.042087542087542076,-0.0004194048546941399
0.04299999999999999,-0.00036741768006639175
0.043,-0.00035817227717998174
0.04655737704918032,-0.00037101245915345846
0.04761904761904764,-0.0005009248022337867
0.04799999999999999,-0.0002362015353282918
0.047999999999999994,-0.00022923671897822858
0.047999999999999994,-0.00034078996879471034
0.047999999999999994,-0.0002345681888057062
0.048,-0.0003920520161482844
0.048,-0.0028251874001908083
0.048,-0.00022236775380455736
0.048000000000000015,-0.0003436230295850701
0.048000000000000015,-0.00019378171860507214
0.04800000000000002,-0.0003563899107730566
0.04800000000000002,-0.0005152087056436803
0.04800000000000002,-0.0003563899107730566
0.04800000000000003,-0.00040213309455397136
0.049999999999999975,-0.00439427339555722
0.04999999999999999,-0.00035198041123657843
0.049999999999999996,-0.00035198041123657843
0.049999999999999996,-0.0004887864446126393
0.050000000000000024,-0.00033711538304667747
0.05333333333333334,-0.00045173165583470987
0.055999999999999994,-0.00026097162320321026
0.055999999999999994,-0.00022034500180539312
0.05600000000000001,-0.00042110950956573
0.05600000000000001,-0.00042445720277786236
0.06,-0.0003253639546104884
0.060000000000000005,-0.0003499461016982248
0.060000000000000005,-0.00037189206421811154
0.060000000000000005,-0.0002981340887640752
0.060000000000000005,-0.00033547134484862226
0.06000000000000001,-0.0002656025060188471
0.06002400960384156,-0.00041878891007335377
0.060606060606060566,-0.0004862918907075218
0.06399999999999996,-7.182346152851616e-05
0.06399999999999999,-0.00025355359021285207
0.064,-0.00023632195343646195
0.064,-0.0004529132801125187
0.064,-0.0004396502131736432
0.064,-0.0001077130684270904
0.06400000000000002,-0.00034296610836753044
0.06400000000000002,-0.000556407336668927
0.06400000000000002,-0.001805321584248923
0.06400000000000002,-0.00032515966702133757
0.06400000000000002,-0.000175825427963353
0.06639999999999999,-8.974929024743753e-05
0.06640000000000003,-0.00011089544295841066
0.06640000000000003,-0.00013589953122081816
0.06666666666666664,-0.0003497670405754436
0.06999999999999998,-0.00043096471266883756
0.06999999999999999,-0.00038371459553594603
0.06999999999999999,-6.580908453213508e-05
0.06999999999999999,-0.0005655468729920173
0.07,-0.0004052648687008109
0.07000000000000003,-0.000728313920730114
0.072,-0.0002668765141940464
0.072,-0.0003051261590317334
0.072,-0.00033636947345023604
0.072,-0.00030565875062829454
0.072,-0.00018386614547237837
0.072,-0.00016724374131176932
0.07200000000000001,-0.00015713699423026785
0.07200000000000002,-0.003034987973811995
0.07207207207207207,-0.0005423597581541182
0.07499999999999998,-0.00030739713972756697
0.07499999999999998,-0.00030739713972756697
0.07499999999999998,-0.00020994130355677653
0.07499999999999998,-0.0003479022204844919
0.075,-0.00011454847248581371
0.07999999999999999,-0.001311882121368549
0.07999999999999999,-0.0007322680678250093
0.07999999999999999,-0.0011377572650018897
0.08,-0.002781073989219879
0.08,-0.0007916597931593515
0.08,-0.0008237435984763819
0.08,-0.00027139666085816634
0.08,-0.0002613173081357674
0.08,-0.00038729587958332145
0.08,-0.00029906592441706996
0.08,-0.0002781053110081155
0.08,-0.00027691196889530184
0.08,-0.00039339456698383
0.08000000000000002,-0.0008105045985039813
0.08000000000000002,-0.0004147094264387707
0.08000000000000002,-0.00039793808302869527
0.08000000000000002,-0.00041933934913371523
0.08000000000000003,-0.00017468721364381523
0.08499999999999998,-0.00021755311893031983
0.08799999999999998,-0.0002803289107772417
0.088,-0.0002234665954555609
0.088,-0.00034456660670143516
0.088,-0.0003001197134043433
0.088,-0.000215322322838452
0.088,-0.00024821646380267866
0.088,-0.0002984340358300751
0.088,-0.0002765923891994573
0.088,-0.00012852412280711122
0.088,-0.0005014675977108804
0.088,-0.0011421026945521015
0.08800000000000001,-0.00023875179763762887
0.08800000000000001,-9.553393334000781e-05
0.08800000000000001,-0.0002422638601068413
0.08800000000000001,-0.000788740307667414
0.08800000000000004,-0.0001500753499344152
0.08800000000000004,-0.0003537672491740003
0.08800000000000005,-8.911553311922874e-05
0.08800000000000005,-0.0002863282029859915
0.08800000000000005,-0.0007744570975249756
0.08800000000000005,-0.0008876904538390481
0.08800000000000005,-0.0003537672491740003
0.0888,-0.0004063488873929387
0.09,-0.0001551113399621853
0.09000000000000005,-0.00041464267322744553
0.09299999999999997,-0.00020221999682939153
0.09333333333333334,-0.0007313281794471305
0.09333333333333334,-0.00028081852276915116
0.09333333333333334,-0.0005161319231811657
0.09599999999999999,-0.0030785747616391586
0.096,-0.0003725997162889388
0.096,-0.0003046908045753873
0.096,-0.0004385355521929964
0.096,-0.00027739245897156605
0.096,-0.0004286740662251087
0.096,-0.00019880770296682522
0.09600000000000004,-0.0024712068011319044
0.09600000000000004,-0.002310736747902742
0.09600000000000004,-0.0029453117223655705
0.09999999999999995,-0.0006556942441756189
0.09999999999999996,-0.002535010035153964
0.09999999999999998,-0.0006539909395929666
0.09999999999999999,-0.0006539909395929666
0.09999999999999999,-0.000426438823822473
0.09999999999999999,-0.00020906484569321534
0.09999999999999999,-0.0003040613441531426
0.09999999999999999,-0.0017775176107116437
0.09999999999999999,-0.00030258255728982965
0.09999999999999999,-0.0003244808643214528
0.1,-0.0006539909395929666
0.1,-0.0006539909395929666
0.1,-0.0004226813679946673
0.1,-0.0006539909395929666
0.1,-0.0006539909395929666
0.10000000000000002,-0.00032340446363738706
0.10000000000000002,-0.000177723154009757
0.10000000000000005,-0.0006937142982849687
0.10000000000000005,-0.0006556942441756189
0.10000000000000007,-0.0006386515108264656
0.10000000000000007,-0.000540865892945659
0.10200000000000004,-0.0006899063796623927
0.10400000000000004,-0.00018166534872433174
0.10400000000000006,-0.0004753668212870671
0.11038961038961038,8.632477363792878e-05
0.11100000000000002,-0.0016344143895267004
0.11199999999999999,-0.0006469079391345985
0.112,-0.0005509193161722827
0.112,-0.0003279674675848694
0.11200000000000003,-0.0002519564672843061
0.11200000000000003,-0.000371758342024051
0.11200000000000003,-0.0001069749048366693
0.11200000000000003,-0.0004215673366516178
0.11200000000000004,-0.00028836806296519057
0.11200000000000004,-0.00025240943167475864
0.11688311688311688,8.606409459501893e-05
0.11700000000000002,-0.0003849158540241592
0.11999400029998501,-1.766838106825228e-05
0.11999999999999997,-0.00021799990706023264
0.11999999999999997,-0.0002882002646094939
0.11999999999999998,-0.0002598176425229904
0.11999999999999998,-0.000261551727630372
0.12,-0.000381974057483954
0.12000000000000001,-0.00046019662225549454
0.12000000000000001,-5.8030139885699404e-05
0.12000000000000002,-0.0005551750734517342
0.12000000000000002,-0.00034354456199494346
0.12000000000000005,3.668392315413094e-05
0.12000000000000005,8.846877542264776e-05
0.12337662337662336,0.00010700915128170249
0.12400000000000008,-0.00045675243437966233
0.12499999999999999,-0.0005070620675016077
0.125,-0.0019487305810307787
0.125,-0.0016611846432419534
0.128,-0.000239634434111437
0.128,-7.044102489530209e-05
0.128,6.270686087253005e-05
0.12800000000000003,-0.0002711885838236301
0.1321428571428571,-4.108377552403243e-05
0.1333333333333333,-0.0001674528531049953
0.1333333333333333,-0.00018131849624813116
0.135,-0.0027115297459661563
0.13599999999999993,-0.00030510813227506846
0.136,-0.00011081157361873882
0.14199999999999993,-0.0005022862580951642
0.14200000000000002,-0.0009399761965508971
0.14285714285714285,-0.0004536339080744718
0.14399999999999996,-0.00012539247665661443
0.14399999999999996,-0.0001275207926183291
0.14399999999999996,-0.00010734725590866595
0.14399999999999996,-7.81147723870891e-05
0.14399999999999996,-0.0001230819793480213
0.14399999999999996,-0.00010828682688551222
0.144,-0.00017171091932516444
0.144,-0.0003229854138772194
0.144,-0.00031658098530816607
0.144,-0.0004406238321009683
0.144,-0.00030511976169275256
0.14400000000000002,-0.0002392376025572477
0.14400000000000002,0.00015010468687739245
0.14400000000000002,6.646622631070966e-05
0.14400000000000002,-0.00019971474109444222
0.14400000000000002,-0.00016511147935834817
0.14400000000000002,-0.00015621682885355478
0.14400000000000002,-0.00017678731755785932
0.14400000000000002,-0.00024490082376747637
0.14400000000000002,-0.00022187953533890468
0.14400000000000002,-0.0002366252333938114
